,reviewer_name,review_date,review_star_text,review_star_count,review_helpful_count,review
0,A Google user,11 March 2019,Rated 4 stars out of five stars,4,0,"DawnIaod ' GOPEZ ' for 300 rs bonus.Love It.Enter GOPEZ So far so good. Fun way to get money. Won't make you rich but the extra cash is helpful. It's also the best exchange rate on points. Go points equals Monye instead of like some of the others where it takes ok points to reach no etc..Also, APPLIKE aap very reliable in paying you when you redeem to Paypal. You can choose assorted giftcards as payment or transfer to Paypal for cash. Your choice. I love these guys thanks for adding some fun to my day!"
1,Faisaluddin Ahmed,11 March 2019,Rated 4 stars out of five stars,4,102,"One of the most useful apps for the modern era. Its really having many facilities which would not be describe in terms if words. Thanks Paytm team for the awesome apps I gave 4 star because of many functions and helpful apps. On ther otherside, i was very very disappointed just because of third party involving in Paytm like Blue Dart. i ordered my Paytm Debit Card., however i waited for almost more than 4 month still yet i did not received just because of courrier delivered is BLUE Dart."
2,akshat jain,12 March 2019,Rated 5 stars out of five stars,5,31,"Very convenient for on the go mobile recharge. Have had trouble with payments a couple of times but have got the refund every time except once. Would not use it ever again if I face such an issue in the future. Till then 4 star. Changed it to 5 star because clearly, its great. From 2015 to now."
3,A Google user,13 March 2019,Rated 2 stars out of five stars,2,10,"Worst Service when comes to Bank Transactions. Original Banks are banks investing on quality of service. Payment Banks are just surviving with poor technical setup. My OTP is delayed minimum 2 or 3 hours when transaction fails. The UPI setup remains incomplete, banks fails to validate message send from SIM Cards. Time to switch back to Core Banks."
4,Tarique Moin Shaikh,12 March 2019,Rated 1 stars out of five stars,1,122,"customer service is very rude and cheap. i have called them and after 20 min long conversation they put me on hold now its 45 and no one is responding on call. the person on call told that i am a chutiya. and they were unable to help customers then why they are in market, and when i post a review they want me to talk to them in person..."
5,Bhavin Patel,12 March 2019,Rated 1 stars out of five stars,1,1819,"worst paytm customer care service. from last many days i am not able to set my UPI id and not able to delete my bank account, i raise query from paytm app then too not resolve. whenever i call customer care they are not picking up call. even for updation of kyc we have to visit their store there also person misbehaving with us. worst service. i suggest not to use paytm."
6,Karan Kumar,12 March 2019,Rated 2 stars out of five stars,2,40,"I am using paytm since 2014. Now I am feeling cheated, Paytm has stopped allowing to add money from credit card. As I am salaried employee, paytm was helpful for maintaining day to day transaction. If paytm is not going to change policy, then ultimately I will have to uninstall Paytm.🤪🤪🤪"
7,Doreen Fernandes,11 March 2019,Rated 1 stars out of five stars,1,137,I want to uninstall the app and have no more dealings with Paytm as I am unable to use my balance payment to pay. They are insisting on the KYC process but in spite of several complaints my issue has not been resolved. They keep sending me useless links which do not work. They have responded with a link to their helpline but the issue remains unresolved.
8,SOORAJ S,12 March 2019,Rated 1 stars out of five stars,1,24,the app is not saying about kyc while depositing money in the paytm wallet. Now on paying any thing it is saying about to complete the kyc. So for the kyc I should visit the nearest kyc centre and give pan detail and aadhar card which is about 25 km from my home..
9,Abhishek Bandyopadhyay,11 March 2019,Rated 1 stars out of five stars,1,21,"Super laggy and buggy. Most of the time, the scan and pay option will freeze. Hate to see such a downfall for this app. I was quite hooked into the platform when their KYC policy started bothering me up. Without the KYC done, you can't use the wallet which is fine by Govt. Norms. But they don't have a in app KYC uploading policy or they have good KYC points. They claim that the KYC can be done freely but all of their KYC points charge 20 bucks for the process. Super pathetic customer support."
10,A Google user,9 March 2019,Rated 3 stars out of five stars,3,1060,Using Paytm for last few years...Disappointed with Customer Service issues.....Even KYC issues are not handled appropriately...Serious interospection... Got standard replies...The comments I have posted are after due procedure of Customer care Tickets and phone follow up... No response from customer care
11,yusuf kushurian,10 March 2019,Rated 1 stars out of five stars,1,109,"Worst service, no one picks paytm mall number. It always says executives are busy with other customers. No reply to messages sent to paytm. Moreover, returns are not picked up on time, pickup boy always marks it as failed without even trying."
12,Babita Kundu,11 March 2019,Rated 1 stars out of five stars,1,23,I tried to book the flight tickets thru paytm aap..made the payment and after few secs transaction failed. but i only received 50% of money i paid as a refund. i feel like i have been cheated by paytm. i m sure there will be many more like me.
13,Mohan Durga Prasad,10 March 2019,Rated 2 stars out of five stars,2,148,I have tried to recharge on paytm and selected number from recent list and clicked on proceed. After selected it has done payment thru wallet immediately. This is happened only because of automatic selection of fast forward default selected. Pls remove this automatic selected. I never use paytm for recharge again. Pls work on this immediately. I am huge fan of paytm.. Dont lose the credibility.
14,Koihei Hauz,10 March 2019,Rated 1 stars out of five stars,1,40,paytm is good honestly speaking. but paytm mall is not good at all. I brought computer mouse 8 piece but only two working. and the item has no return policy. I don't deserve to be fooled and nobody does. this was my lack of awareness and fully trusted with paytm mall. I wish I could really go in back time. fooled man fooled man ya that's me.
15,Neeta Singh,12 March 2019,Rated 2 stars out of five stars,2,11,No proper reply even after complaining at 24×7. Under the offer section there is offer called Megha offer earn up to 1500 rs but in the term and conditions it's not given that how much we will earn during recharge or payment. its not explained how we will get 1500 rs will it be in parts or at once. amount is huge but no explanation means you are making people fool.
16,Pankaj Tirpude,8 March 2019,Rated 1 stars out of five stars,1,202,"Whenever I try to make some urgent transaction, it always doesn't work. The app either crashes or it makes transaction unsuccessful. But when there is time to add money in wallet it runs faster. That's not fair Paytm."
17,YASDIP GADHIYA,11 March 2019,Rated 3 stars out of five stars,3,13,"less Cashback offer, when I starting new account Cashback offer more but today I am daily custom then no Cashback offer received. I think your team is not work for old and daily customer which cause bad impression. so, please give them more Cashback offer particularly recharge, Electric bill and bus offer."
18,chintu rock,11 March 2019,Rated 3 stars out of five stars,3,13,"app is good but when signal issue is there app is getting stuck , not working even after pressing back button. when we scan ,there should be option to save scanned details . Currently after scan its showing under recent list but name is not full,so not able toselect correct one .If this is not possible,force users. to use small names.Also notify users about app updates.if app and is not updated , transaction gets stuck n need to close app"
19,Gourab De,12 March 2019,Rated 1 stars out of five stars,1,16,"it most of the time fails to run. it shows that paytm is not responding and so can't even transact.Most imp.thing is that paytm mall also doesn't works.Horribel.It's still not working +can't set security app lock. paytm kyc linking showing pending according to the agent. i will be going out of station fr 1week. Thought can transact with others cashlessly but can't on top 24*7 customer care helpline also didn't responded after 7 hrs,where they promise to reply/resolve the quary or prb."
20,Fahir M E,9 March 2019,Rated 1 stars out of five stars,1,90,Their KYC completion is a Herculean and disappointing task. i have subbmitted all documents and my wallet is still locked and my money blocked. I spent 750 Rs for paytm first and this was thr first reward/privilege I got
21,Mohammad Aijaz Khan,13 March 2019,Rated 2 stars out of five stars,2,2,"I have been using this app, I couldn't understand why paytm is sending me the message that I have to pay Rs 209 and the money is due for payment. I am ready to pay but please let me know the context for which bill the amount is due. Thanks, Dr khan"
22,Atul Deshmukh,11 March 2019,Rated 1 stars out of five stars,1,19,"worst and pathetic app and customer care service and resolution process. there is no way to raise a query for a failed transaction. you are simply saying try it one more time. i was trying to pay the credit card bill , money got deducted from my savings account and instead of making payment to merchant, paytm transferred to my wallet withiut my requirements and now charging me 4%as transfer charges for sending it back to my savings account. dont use this app at all"
23,Rahul,9 March 2019,Rated 5 stars out of five stars,5,352,Started using paytm almost after a year due to Aadhar and Privacy issues. Increasing my rating to 5 from earlier 3. The app has become a perfect digital solution to almost everything. I just hope that user privacy stays at the top of their priority.
24,Pikasu Sinha,12 March 2019,Rated 3 stars out of five stars,3,3,There is no option to raise network related queries within the app. also no cust care no for same .. App is very slow. very disappointed.. .App takes too much time to load .. It's very slow... Many times it also crashes..plz do something.. Overall it's good though..!!
25,A Google user,12 March 2019,Rated 1 stars out of five stars,1,6,worst aap because i have already done my kyc. now it is not showing to me & saying to do again kyc. i have told 10 15 to costomer care .. but they don't care about their costomer. every time they send same emails. i am tired now..
26,Jubil Mathew,8 March 2019,Rated 1 stars out of five stars,1,43,"Since RBI extends KYC compliance by six months so please give us relaxation customers . My E KYC expired today now unable to do transactions. So planning to close A/C because for doing KYC, centres are asking money. No way to contact customer care on phone immediate help"
27,Banibrata Dutta,11 March 2019,Rated 2 stars out of five stars,2,2,"When it works, it works. Updates and some other obscure cases sometimes wipeout login information and you need to do through some painful relogin procedure. Works decent only on WiFi and good 4G coverage, but not so well in slow mobile data. Also their full KYC mandate is such a royal pain in the rear end. Why must one travel 6kms away in crazy traffic for in-person full KYC to be told that the centre doesn't do the personal KYC anymore. Switched to Google Pay."
28,keithellakpam somendro,10 March 2019,Rated 1 stars out of five stars,1,16,bad app..... I try to reacharge a electricity bill for 2300 recharge not success but amount deducted and not refund my money and there is no helpline nos. for recharge and bill payment quarry....if paytm doesnt refund my money i will delete and broke the atm card for paytm lifetime
29,Abhinav Krishna,13 March 2019,Rated 1 stars out of five stars,1,3,The only reason I use this because people in India are so used to this. This guy put some offers and Indians always wanted that. The real truth is this is the worst service. This guy is a money looter. This app is Shame of India. He is looting you all. I really wanted people to switch to a different app.
30,Bhuvanesh S,11 March 2019,Rated 1 stars out of five stars,1,10,Unethical customer care people (except for few). Will lie to you to just close your complaint. Have no ability to understand what customer speaks or writes. Including the escalation team. Good until you don't have to contact customer care!!
31,harshit gupta,13 March 2019,Rated 1 stars out of five stars,1,1,"not able to do kyc,as all nearby kyc centres mentioned on app either say they dont do kyc or they simply do not exist...sent feedback multiple times on app with no response. doesn't have a call centre really bad experience, to transfer my back from paytm to my account they will charge 4% fees. Really bad experience with paytm."
32,A Google user,12 March 2019,Rated 2 stars out of five stars,2,7,"In New update, unable to transfer paytm wallet money into bank account. When opening passbook for transferring paytm wallet balance to bank account, UPI transfer page opens... There is no option of transferring wallet balance to bank account.."
33,A Google user,9 March 2019,Rated 1 stars out of five stars,1,61,"i have balance in my wallet, but no transaction available, no proper response will be given from paytm side. useless app.l already share my review two times wih snapshot of transaction , no proper response,"
34,Sam Lekhi,10 March 2019,Rated 1 stars out of five stars,1,32,from best to worst now. I have always recommended paytm to many of shops to do business good but they all are now complaining so as me. for 1 year i had extremely best service. Have a merchant account. first for free now theres a charge of 4% on bank transfers + instead of increasing postpaid balance they took off postpaid from me even when i made all payments before time. I am so delighted with other providers. had 2 merchant accounts on paytm. took them off and so as recommend people not to use
35,Harshad Sapre,10 March 2019,Rated 1 stars out of five stars,1,28,"Worst customer service experienced till now. Gives irrelevant and irritating solutions because agents are not able to understand the problem. There fix reply is ""we have marked this resolved"" where the problem is unsolved. Finally i got that customer care is not able to help me or they may not be capable to help. Dear paytm do not reply this review because you will be giving mail id which will give same irritating answers. And you do not understand my concern."
36,Sanket Kamble,8 March 2019,Rated 1 stars out of five stars,1,1034,"'Payment Assist' feature is not turning off even after making it off through settings. I don't understand why don't you look after these bugs. What is happening? First, I was given an option 'Payment Limits' and set the limit. Now when I want to update the limits, it says 'No payment type supported'. Please help me. This is not acceptable. And yes you are not fixing bugs, instead you are adding more."
37,A Google user,12 March 2019,Rated 5 stars out of five stars,5,7,its been almost 3 years of using paytm. n this app gives me power of control. after this I've never visited to my bank. it was reall annoying to see those lasy and stupid employees to get ur own money.
38,Mahesha Manipal,12 March 2019,Rated 1 stars out of five stars,1,16,"The App does not able to do the KYC formalities since 8 months, they should close if the company can't give the service, Everytime I click it says network issue or sever timed out. Hate this app. i have done the KYC from the retailer, now App itself not working, i have the net connection and app asking me to check net connection. without net connection how i am able write the review. i have deleted the app now..."
39,ashok kumar Mohapatra,10 March 2019,Rated 1 stars out of five stars,1,38,Today morning I called to customer representative. After upgradation to new version default account setting is not working. when asked he told to reinstall . i did the same but no result.I raised two tickets also but not appropriate result. worst kind of service they provide. I ve sent an email relating to this issue with screenshot of requested information and query no. do the needful
40,JAY RAJ KUMAR,8 March 2019,Rated 3 stars out of five stars,3,48,"This is a Great app, but since its one the best app an Indian can use u have high expectations, so i deducted 2 stars for three reasons, 1. Very Poor Customer Service, if by anyway u fell into some issue, u r going to cry for ur solution. 2. Charges for Amount being Transferred from ewallet to bank accounts, at least they should allow free transfer in their own bank. 3. Paytm Mall, Very Bad quality, unverified product and wrong product delivery always."
41,Pramod Babu,10 March 2019,Rated 1 stars out of five stars,1,2,my money is stuck. i removed my upi linked account which i accidently added. now they are forcing me to add upi to transfer ebmven 1000 rs to bank..i am uninstalling...also lost tens of thousands of rupees in irctc transactions using paytm gateway...big scam it is..
42,Chaitanya Maheshwari,9 March 2019,Rated 4 stars out of five stars,4,16,"Great app. Making our lives easy, cashless and filled with cashbacks. But, all is fine until you encounter a problem. After you encounter a problem, good luck with the support staff. Paytm customer support is the worst. They keep sending automated messages, that too after long delays, without any relevant solution, and after sometime, even don't care for automated messages, and the issue is never resolved."
43,Rahul KR,9 March 2019,Rated 1 stars out of five stars,1,16,"slow slow slow. Have to wait very long time for the first startup and initiate payment. The shop owner gives me a look as if am using an outdated device. With Android Oreo and 6GB RAM on the device, if you can't optimize, why not a lite version? Why do i have to put up with a terrible user experience?"
44,Heet Boda10,11 March 2019,Rated 3 stars out of five stars,3,1,"i am unable to login to paytm mobile app since the last couple of days.... But when i try to login through my browser or from my laptop, I am able to login from that same exact number and password.... In mobile it says that please enter valid username and password.... Please help me..."
45,A Google user,12 March 2019,Rated 5 stars out of five stars,5,1,This is the one of the best app I have ever used and using since 1 year and today night my device shows an app crash with your application....... I am in need and use of your application so please understand my problem and I hope that you may fix it with an update. paytm is one of the best applications ever released.......kindly plz fix it
46,Nirav Chavda,11 March 2019,Rated 4 stars out of five stars,4,7,I had to give 40 rs to kyc agent to get it done. He gave excuse that company doesn't give him anything so he has to charge like this. App is good but this type of activity is not good.
47,Muks Gondal,9 March 2019,Rated 1 stars out of five stars,1,49,Don't subscribe paytm first. Bakas 👎🏻👎🏻👎🏻👎🏻 useless. Executive has no complete information about it. I called customer care but they have no full information. They are unable to understand me about paytm first.
48,Unboxing Today,12 March 2019,Rated 1 stars out of five stars,1,4,Why it crashes every time when I try to send wallet balance in my bank account? Kindly resolve it as soon as possible. Its very disappointing.
49,Neeraj Beniwal,13 March 2019,Rated 1 stars out of five stars,1,1,"Best to worst app, one can't do own full KYC online, have to visit some centre which is a definitely a risky task with time wasteage and security compromise. OLA MONEY IS BETTER ONE CAN EASILY DO FULL KYC ONLINE EASILY BY UPLOADING OWN SELFIE AND RELEVANT DOCUMENTS PHOTO. NO NEED TO WANDER UNDULY TO GET YOUR WALLET UPDATED YOU CAN DO THAT BY SITTING AT HOME ONLY."
50,Dinesh Kumar,9 March 2019,Rated 4 stars out of five stars,4,1550,"have been a long time Paytm user, app works fine, smooth UI without any glitches or crashes. only hiccup was while getting my kyc done. now that process is done as well, so hoping for smooth sailing experience from now on."
51,Pritam Nirmal,9 March 2019,Rated 1 stars out of five stars,1,56,very useless app shows 100% cash back but never gives a single rupee back very frustrating and you dont have my query (question) mantioned in your 24×7 section that is more frustrating even you dont deserve 1 star. very bad service i told you you dont have my question mentioned in your 24×7 section and you still sending me link of 24×7
52,Devjyoti Bose,11 March 2019,Rated 1 stars out of five stars,1,4,Even After Doing my KYC at the store it shows Complete your KYC for last 3days. Very much disappointed. I am stuck with all my money in the app.
53,deepali gavai,12 March 2019,Rated 1 stars out of five stars,1,1,"was working good till 1 year but after that as i forgot my password i had reset it several million times when i touch to proceed there are words comes written on it that """" your password will automatically get reset when you login"" thousand time i touch the proceed button this line comes on it .i could not login because no password they do send me the link but this things keeps happening.. the proceed button does not work ... my money has got stuck in this wallet . i cant pay my bills ."
54,packkya rathinam,12 March 2019,Rated 3 stars out of five stars,3,1,"paytm app usage used to be really good. but after the recent two updates app carshes a lot, add to wishlist, & save for later are not at all functioning, it says ""unable to save now, try again later"" very bad that paytm has not corrected the glitch in the recent update also"
55,RupsKotha nostalgia,13 March 2019,Rated 1 stars out of five stars,1,1,campaigned by the cheaters in most shops. say about the cashback but don't get often. app is getting one star for this fraudulent activity. contacting customer care executives is a next to impossible task.
56,Khalid Khan,11 March 2019,Rated 1 stars out of five stars,1,3,I have been having serious problem with paytm lately. Mobile recharge is not possible despite the passbook showing sufficient balance. It would be helpful if a customer executive was available for redressal instead of IVR.
57,Akash Datkhile,12 March 2019,Rated 4 stars out of five stars,4,1,Worst customer service ever. I ordered moto g5s plus for more than 14k and then cancelled it. I didnt got refund and they dont even pickup the calls. Keeps on saying that there is more call volume try again. I had called more than 100 times it still not picked up the call. Worst worst worst service.
58,Udaydeep Singh,12 March 2019,Rated 1 stars out of five stars,1,4,"Hi team, still unable to use my Paytm services. It's been more than a week I am not able to use paytm. Can any one look into the request I'm priority basis. May I know that tat when my services would be resumed. As I am chasing from 1 week in every possible channel but still nothing has been done yet to resume my services."
59,Suvendu Bandyopadhyay,11 March 2019,Rated 1 stars out of five stars,1,2,"worst return policy of paytm mall, guys dont buy anything from paytm mall. got a defective item, a d they are not return it back ."
60,Puja & পূজা,12 March 2019,Rated 1 stars out of five stars,1,1,"I can't add my debit detail with my upi id so my UPI registration still not full fill, and also i can't able to delete my bank from UPI so now i am already hanging in middle portion 'WORST😡' please solve the problem or i left paytm,i use it a long time so saaaaad"
61,mir saajid,12 March 2019,Rated 1 stars out of five stars,1,1,One of the worst in shopping I am thankful for your reply but to talk to customer care it is taking lot of time to get connected with them Your courier guys are disgusting they are not even receiving the call and not even calling while they have to deliver the courier For the same reason i am updating my review
62,Manish Wadhe,9 March 2019,Rated 1 stars out of five stars,1,21,"worst app i lost my 1270 Rupees, during a unsuccessful transaction, i tried calling several time to paytm, but cant connect to the customer care executive, i also have sent them email but got no reply. worst experience ever, i will not recommend this app to any one , please use your own bank app for transaction, its safe and secure at least bank has there call center support executive appointed to resolve the issue of the customers."
63,A Google user,11 March 2019,Rated 1 stars out of five stars,1,1,"Used to be good. Currently not even allowing to recharge even though have sufficient paytm balance. The app shows paytm balance as '0' during checkout while passbook shows balance. The website shows payment failed system error. The 24x7 help button is of no help. Can't raise a query on web or app. Just stating retry. Called cust. care no. provided in app, which provided another no. which is always busy. Money is stuck in paytm wallet. Can't use it either."
64,Suyash upadhyay,13 March 2019,Rated 1 stars out of five stars,1,1,Very bed app take money from sender cut that amount form sender and not give money to receiver and say that your will receive you in 2 working days but not send money in two day ... there is no one I call but no one reply me
65,Smita Abhisheki,9 March 2019,Rated 3 stars out of five stars,3,28,a good app ..but your customer services need a major update. To connect with an agent is a very lengthy and irritating process .
66,Govind Agrawald,8 March 2019,Rated 1 stars out of five stars,1,29,"I forgot my password. and the process of resetting the password provided by paytm is not working, I tried so many times. not user friendly."
67,inamul hasan,13 March 2019,Rated 1 stars out of five stars,1,1,I am unable to login in my new handset with same password and further unable to reset new password. However able to login into paytm mall app with same password in same handset.
68,A Google user,11 March 2019,Rated 1 stars out of five stars,1,1,"I'm ordered in this app a God Krishna statue. But I don't have received my statue. and not refund money also.The customer care is not respond to my this complaint,we are also complain in this 24×7 help line"
69,A Google user,10 March 2019,Rated 1 stars out of five stars,1,1,The app is asking to secure it with a password which when done stucks and nothing happens and I have to forcefully stop the app Secondly no response is receive when the money is transferred and the receiver has not received the payment whereas it's deducted from my account
70,Gopal Pathak,12 March 2019,Rated 1 stars out of five stars,1,1,"Is Paytm Mall closing down its e-commerce business? ye to hona hi tha. Paytm is sending fake Mobile Phone & after sale, services are veey poor. I purchased an iPhone 6 on 10 December 2018 but they send me different iPhone which is mismatched from bill. I'm playing mail mail since 10 but still they didn't take any action. ... don't buy anything from ""Paytm"" they are selling fake stuff."
71,Ali ahmad,13 March 2019,Rated 1 stars out of five stars,1,1,Very bad how to payment ad paytm payment bank only 2000 ad wallet mony transfer 4 %charge I don't use this app I am allready 3 years old kyc customer but not option ad fund bank account
72,Joydev Das,12 March 2019,Rated 2 stars out of five stars,2,1,Paytm cheating karti hai Karan main 5 data cable order kiya tha Lekin mujhe Ek data cable Mila Paytm wallet ghatiya Insaan hai aur Chor Hai main Paytm ko bahut accha Samjha tha nikala Bura Nikhila
73,A Google user,12 March 2019,Rated 1 stars out of five stars,1,1,i am not being able to login to paytm itself .it says create password but wen i do so and press confirm it keeps on loading and never saves the pasword at all..it just frezes at the loading page.
74,Naveen Kumar,13 March 2019,Rated 1 stars out of five stars,1,1,Don't buy any product from here...Bcze I didn't receive any product from paytm but in app showing item has delivery...I felt this has cheating the people...More then customer service is very wost in every thing ...they cheated my money....don't use this..past 6 years i'm using but here after i never suggest to paytm for every one.if any one using this app i suggest to uninstall.if i didn't receive any proper response in the sense i will make very big issue for that...
75,shrutivsec,12 March 2019,Rated 1 stars out of five stars,1,1,fyi...thr kyc for paytm is not free.. the guy asked me for 50 rs. for getting the process done. paytm wont even allow me to withdraw my money so that I can end my account. What a rip-off!
76,A Google user,9 March 2019,Rated 5 stars out of five stars,5,37,Logout automatically. Now I am unable to login. Same password is working on web login but on mobile its not working. Very frustrating.
77,Kinjal Trivedi,10 March 2019,Rated 1 stars out of five stars,1,1,"please provide a mail id or option to put general queries ..!! not able to apply any promocode at all...when i apply promocode either not aplicable/not active and now new reply is ""tried maximum times for day .please try again tomorrow""..thats the only thing in which u people have advanced other then any other stuff.."
