,reviewer_name,review_date,review_star_text,review_star_count,review_helpful_count,review
0,Rahul Raghav,"January 28, 2019",Rated 2 stars out of five stars,2,4089,"Its a good app without any advertisement as even official railway apps contain many advertisements. But few updates back the the app stopped saving PNR, previously it used to save pnrs and even show notification whenever there is a change in status and even on day of travel it showed that you have train today, which is on time or not. Being in protocol we have to deal with 100 of PNRs daily and automatically saving was very useful. If they can bring back this feature i can give my five stars back"
1,Bijesh Krishnankutty,"January 28, 2019",Rated 2 stars out of five stars,2,358,"Just superb. This app has a very user friendly interface. Always wished this kind of tracking and display system inside each compartment. Anyways now it's in our palm. Nowadays while traveling in night, I don't need to peep outside for checking the station. A big thanks to the team. Changing to 2 star, as all good features are removed from the app. Its diverting to a different site for even PNR update. Looks like intentionally killing this app for benifitting some other."
2,Ameya Maharana,"March 1, 2019",Rated 3 stars out of five stars,3,109,"The app is good, but needs more improvement. Many time it gives wrong information which missleads the user. Train accuracy is not that great as expected. Earlier we use to see the available seats in this app itself but now its redirected to the indian railway site which takes lots of time to get the details. The old version was very user friendly and provided all the information like pnr and seat availability etc. Hope to see improvement in the app and also experience like the older one."
3,Astitva Srivastava,"January 20, 2019",Rated 5 stars out of five stars,5,8213,Salute to the developers of this app. 🙏🙌 This is the best railways tracking app I have seen ever. It is an awesome idea to take data from people and serve millions of people with exact and accurate information about train status rather than depending on railway stations. Hence it also works when NTES server stops working. I also liked how it reads sms to get PNR details with coach sequence and seat location. Speedometer thing is another awesome idea. Everything is awesome! Thanks developers. 😊
4,Sitadevi Muthkhod,"March 7, 2019",Rated 5 stars out of five stars,5,44,"Very accurate n instantly updated without internet when in train. Best app for trackin express trains. I've personally recommended this to my friends. The alarm feature n platform no. comes handy. There's intermediate stations n travelled distance as well. The estimated time of arrival n departure for each station is very helpful, especially when travelling by trains without a pantry car, so you know when to get down without having to miss the train :) And the most important part- No Ads!"
5,Jayanth Jayaprakash,"January 20, 2019",Rated 5 stars out of five stars,5,1519,"Excellent live train location app. Sharing of your train location ( while you are in train ) is very useful. It helps your friend or parents or loved ones or your driver to reach the station only at the time of actual arrival. They can use the time for other important work instead of wasting time in waiting at the railway station. Wish the developers extend this useful service to bus, mmts, local trains and metro trains. As these services are highly unpredictable and no live update. cheers 👍"
6,A Google user,"January 29, 2019",Rated 4 stars out of five stars,4,290,"I was a regular user of NTES. Of late I realised that NTES doesn't give accurate information on train arrival/departure. After I shifted to Where is my train, the timings are bang on right!! it's so accurate that I can plan my journey down to a minute. Congrats to the team behind the app and all the best. It would be great if the app could give info regarding cancelled/diverted/delayed trains as well. Also a cleaner interface giving details of trains between two stations would be nice :)"
7,Ahamed Abdul Rahman,"January 14, 2019",Rated 4 stars out of five stars,4,517,"Amazing app. Keep up the good work. One suggestion. You might get user permission and read message inbox/mail inbox for upcoming journeys and alert user on that day. Edit1: After the latest update, the PNR status is opening in Railways webapp. Earlier, it was not the case where the pnr status is sown in the app itself. can you please restore that old functionality. So giving 4 stars."
8,A Google user,"March 9, 2019",Rated 1 stars out of five stars,1,26,Early it was good but now day by day detoriates and train running status timing not updated even the train reach the destination station the old version is very accurate and give correct information user friendly. In general all the apps get improvement but this app is reversing get detoriates once again I rate the app 1 star very worst. but for old version give 5 star and extremely good
9,A Google user,"January 23, 2019",Rated 4 stars out of five stars,4,150,Exlent live location trian.very useful app.easy to find train's & train started & ended time accuracy arrived station accurate time then see the time helpful to public .it's checking the 1/2/3/ all coach 2s are available for trian seat's available checking. but not show the booked tickets .so available tickets are show the app update from where is my train app side .but overall very useful app travellers🚆. 4rating bcs the available tickets are reservations tickets show the app update coming soon
10,Indrajit Neogi,"January 19, 2019",Rated 2 stars out of five stars,2,229,"One of the best app ever what NTES couldn't this app and adding tracking using cell tower is a very innovative step.. Hats off. I HAVE CHANGED IT TO TWO STARS, PLEASE FIX THE WAY EARLIER WE USED TO VIEW SEATS AS NOW IT MOVES TO A DIFFERENT INTERFACE WHERE ITS NOT EASY TO BROWSE, when we look for seats"
11,Rajiv Daga,"January 27, 2019",Rated 3 stars out of five stars,3,108,A simple and beautiful app. I wish they had just 2 more options and it would be a perfect app. 1) Option to sync so that if we change the phone the data is still backed up. 2) When it redirects to the IRCTC website and there is a math question there are other apps which gives a popup with the answer but it is missing in this app.
12,Anirudh Madiq,"February 16, 2019",Rated 3 stars out of five stars,3,65,Awesome app. One of the best app for Indian railways. Live tracking of train is accurate and no ads is a bonus. Kudos to the creators... Well done.. update: after the update.. the pnr status checking is very difficult. please revert it back to original one. earlier i gave it 5 stars but now due to pnr checking mishap I'll give it 3 stars.
13,A Google user,"March 6, 2019",Rated 5 stars out of five stars,5,20,Friends this is very important and faster aap rather then any other train app. In my advice you will you will find your life very easy and faster. But I have a suggestion for the aap that they should fill up the platform no because we can not trust on everyone and this app doesn't show the location of every local and passenger train.
